Name,Integrated Graphics,Cores,Clock Speed,Turbo Boost,Price
Intel Core i5-7500,Intel HD Graphics 630,4,3.4 GHz,3.8 GHz,245.97
Intel Xeon E-2286G,Intel HD Graphics P630,6,4 GHz,4.9 GHz,671.00
Intel Core i5-9600,Intel UHD Graphics 630,6,3.1 GHz,4.6 GHz,435.16
Intel Core i3-6100,Intel HD Graphics 530,2,3.7 GHz,,245.64
Intel Xeon E3-1225 V6,Intel HD Graphics P630,4,3.3 GHz,3.7 GHz,323.16
Name,Integrated Graphics,Core Count,Performance Core Clock,Performance Boost Clock,Price
Intel Xeon E-2124G,Intel HD Graphics P630,4,3.4 GHz,4.5 GHz,479.05
Intel Core i5-8600,Intel UHD Graphics 630,6,3.1 GHz,4.3 GHz,417.94
Intel Xeon E3-1230 V6,None,4,3.5 GHz,3.9 GHz,380.00
Intel Celeron G3930,Intel HD Graphics 610,2,2.9 GHz,,249.66
Intel Xeon E3-1275 V6,Intel HD Graphics P630,4,3.8 GHz,4.2 GHz,750.00
Intel Xeon E-2236,None,6,3.4 GHz,4.8 GHz,303.59
Intel Xeon E-2134,None,4,3.5 GHz,4.5 GHz,337.14
Intel Core i9-9900T,Intel UHD Graphics 630,8,2.1 GHz,4.4 GHz,353.43
Intel Core i9-9900KS,Intel UHD Graphics 630,8,4 GHz,5 GHz,435.34
Intel Core i9-9900K,Intel UHD Graphics 630,8,3.6 GHz,5 GHz,434.23
Intel Core i3-8100T,Intel UHD Graphics 630,4,3.1 GHz,,237.30
Intel Core i9-9900,Intel UHD Graphics 630,8,3.1 GHz,5 GHz,345.73
Intel Core i7-9700T,Intel HD Graphics 630,8,2 GHz,4.3 GHz,378.82
Intel Core i7-9700K,Intel UHD Graphics 630,8,3.6 GHz,4.9 GHz,325.46
Intel Core i7-8700K,Intel UHD Graphics 630,6,3.7 GHz,4.7 GHz,314.33
Intel Core i7-8086K,Intel UHD Graphics 630,6,4 GHz,5 GHz,346.32
Intel Core i7-7700T,Intel HD Graphics 630,4,2.9 GHz,3.8 GHz,346.76
Intel Core i7-7700T,Intel HD Graphics 630,4,2.9 GHz,3.8 GHz,336.82
Intel Core i7-7700T,Intel HD Graphics 630,4,2.9 GHz,3.8 GHz,326.12
Intel Core i7-7700K,Intel HD Graphics 630,4,4.2 GHz,4.5 GHz,321.23
Intel Core i7-6700T,Intel HD Graphics 530,4,2.8 GHz,3.6 GHz,318.31
